anio,sexo,via,continente,rango_edad,total
2024,Mujer,Vía Aérea,África,25-39,166
2024,Hombre,Vía terrestre,Asia,40-59,164
2024,Mujer,Vía Marítimo,Europa,40-59,142
2024,Hombre,Vía fluvial,América,25-39,129
2024,Hombre,Vía fluvial,América,40-59,128
2024,Hombre,Vía Marítimo,Europa,<25,123
2024,Mujer,Vía fluvial,América,40-59,111
2024,Mujer,Vía terrestre,Asia,25-39,110
2024,Hombre,Vía terrestre,Asia,<25,110
2024,Mujer,Vía fluvial,América,25-39,108
2024,Mujer,Vía Marítimo,Europa,25-39,106
2024,Hombre,Vía fluvial,América,<25,98
2024,Hombre,Vía Marítimo,América,25-39,96
2024,Hombre,Vía terrestre,Oceanía,25-39,95
2024,Mujer,Vía fluvial,América,<25,87
2024,Mujer,Vía Aérea,África,40-59,84
2024,Mujer,Vía terrestre,Asia,40-59,82
2024,Mujer,Vía Marítimo,Europa,<25,75
2024,Mujer,Vía terrestre,Oceanía,25-39,72
2024,Hombre,Vía Aérea,África,<25,72
2024,Mujer,Vía Marítimo,América,40-59,71
2024,Mujer,Vía terrestre,Asia,<25,67
2024,Hombre,Vía terrestre,Asia,60+,65
2024,Hombre,Vía terrestre,Oceanía,<25,46
2024,Mujer,Vía Aérea,África,<25,45
2024,Indefinido,Vía Aérea,América,<25,44
2024,Hombre,Vía Marítimo,Oceanía,60+,43
2024,Hombre,Vía Marítimo,América,<25,42
2024,Hombre,Vía Aérea,África,60+,41
2024,Mujer,Vía Aérea,África,60+,39
2024,Mujer,Vía Marítimo,Oceanía,60+,38
2024,Hombre,Vía fluvial,América,60+,37
2024,Mujer,Vía Marítimo,América,25-39,37
2024,Hombre,Vía terrestre,Oceanía,40-59,37
2024,Mujer,Vía terrestre,Asia,60+,35
2024,Hombre,Vía Marítimo,Asia,<25,34
2024,Indefinido,Vía Aérea,América,25-39,32
2024,Mujer,Vía Marítimo,América,<25,31
2024,Hombre,Vía fluvial,Europa,25-39,31
2024,Hombre,Vía terrestre,Oceanía,60+,28
2024,Mujer,Vía fluvial,América,60+,26
2024,Mujer,Vía terrestre,Oceanía,<25,21
2024,Mujer,Vía fluvial,Europa,25-39,21
2024,Hombre,Vía Marítimo,Asia,60+,19
2024,Mujer,Vía Marítimo,Oceanía,40-59,17
2024,Hombre,Vía terrestre,África,40-59,17
2024,Hombre,Vía Marítimo,África,25-39,16
2024,Hombre,Vía fluvial,Europa,<25,15
2024,Mujer,Vía Marítimo,Asia,40-59,13
2024,Hombre,Vía terrestre,África,25-39,13
2024,Mujer,Vía terrestre,Oceanía,40-59,13
2024,Hombre,Vía Marítimo,Oceanía,40-59,13
2024,Indefinido,Vía terrestre,América,<25,12
2024,Mujer,Vía Marítimo,África,25-39,12
2024,Mujer,Vía Marítimo,Asia,60+,11
2024,Hombre,Vía terrestre,África,60+,11
2024,Indefinido,Vía Aérea,América,40-59,9
2024,Indefinido,Vía terrestre,América,25-39,9
2024,Hombre,Vía Marítimo,Oceanía,25-39,9
2024,Indefinido,Vía Aérea,América,60+,9
2024,Mujer,Vía Marítimo,Asia,25-39,8
2024,Hombre,Vía Marítimo,Oceanía,<25,8
2024,Hombre,Vía Marítimo,África,<25,8
2024,Mujer,Vía fluvial,Europa,<25,8
2024,Hombre,Vía fluvial,Europa,40-59,8
2024,Hombre,Vía Marítimo,África,40-59,7
2024,Indefinido,Vía Aérea,Europa,25-39,7
2024,Hombre,Vía fluvial,Europa,60+,7
2024,Mujer,Vía Marítimo,Oceanía,25-39,6
2024,Indefinido,Vía terrestre,América,40-59,6
2024,Mujer,Vía Marítimo,Asia,<25,5
2024,Indefinido,Vía Marítimo,Europa,40-59,5
2024,Mujer,Vía terrestre,África,<25,4
2024,Mujer,Vía terrestre,África,60+,4
2024,Indefinido,Vía Aérea,Europa,40-59,4
2024,Mujer,Vía Marítimo,África,<25,4
2024,Indefinido,Vía Aérea,Europa,<25,3
2024,Hombre,Vía fluvial,Asia,25-39,3
2024,Indefinido,Vía Marítimo,Europa,60+,3
2024,Indefinido,Vía Aérea,Europa,60+,3
2024,Indefinido,Vía Marítimo,América,60+,3
2024,Indefinido,Vía terrestre,América,60+,3
2024,Mujer,Vía terrestre,Oceanía,60+,3
2024,Mujer,Vía fluvial,Asia,25-39,2
2024,Indefinido,Vía Marítimo,Oceanía,60+,2
2024,Mujer,Vía terrestre,África,25-39,2
2024,Indefinido,Vía Aérea,Asia,40-59,2
2024,Mujer,Vía Marítimo,Oceanía,<25,2
2024,Hombre,Vía terrestre,África,<25,2
2024,Hombre,Vía fluvial,Oceanía,<25,2
2024,Mujer,Vía terrestre,África,40-59,2
2024,Mujer,Vía Marítimo,África,40-59,2
2024,Indefinido,Vía Aérea,Asia,25-39,2
2024,Indefinido,Vía terrestre,Europa,40-59,1
2024,Hombre,Vía fluvial,Asia,40-59,1
2024,Mujer,Vía fluvial,Europa,60+,1
2024,Indefinido,Vía Marítimo,América,<25,1
2024,Mujer,Vía fluvial,Oceanía,40-59,1
2024,Mujer,Vía fluvial,Europa,40-59,1
2024,Indefinido,Vía terrestre,Europa,<25,1
2024,Hombre,Vía fluvial,Oceanía,25-39,1
2024,Indefinido,Vía Marítimo,América,25-39,1
2024,Indefinido,Vía Aérea,Asia,60+,1
2024,Mujer,Vía fluvial,Asia,40-59,1
2025,Hombre,Vía Aérea,América,40-59,64969
2025,Mujer,Vía Aérea,América,<25,56422
2025,Mujer,Vía Aérea,América,40-59,56360
2025,Hombre,Vía Aérea,América,25-39,54593
2025,Hombre,Vía Aérea,América,<25,52966
2025,Mujer,Vía Aérea,América,25-39,49624
2025,Mujer,Vía Aérea,América,60+,46468
2025,Hombre,Vía Aérea,América,60+,44241
2025,Hombre,Vía terrestre,América,25-39,35643
2025,Hombre,Vía terrestre,América,40-59,30089
2025,Mujer,Vía terrestre,América,25-39,26387
