secuencial,tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,cla_migr,ocu_migr,edad
52553682,Salida,Ecuatoriano,2023,Mayo,25,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Chile,América del Sur,América,Santiago,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Sin especificar,34
80115224,Salida,Ecuatoriano,2023,Agosto,28,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Colombia,América del Sur,América,Cartagena de Indias,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,4
110722050,Salida,Ecuatoriano,2023,Noviembre,21,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,México,América Central,América,Cancun,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Sin especificar,18
80025767,Salida,Ecuatoriano,2023,Agosto,11,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Fort Lauderdale Florida,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,1
52840674,Salida,Ecuatoriano,2023,Mayo,11,Mujer,Ecuador,América del Sur,América,Vía terrestre,Turismo,Perú,América del Sur,América,Tumbes,Ecuador,América del Sur,América,Centro Binacional de Atención Fronteriza Huaquillas,El Oro,Huaquillas,Clase migratoria para ecuatorianos,Personal de apoyo administrativo no clasificado bajo otros epigrafes,36
90503251,Salida,Ecuatoriano,2023,Septiembre,28,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,14
70710645,Entrada,Extranjero,2023,Julio,24,Hombre,Alemania,Europa Occidental,Europa,Vía Aérea,Turismo,Alemania,Europa Occidental,Europa,Frankfurt,Alemania,Europa Occidental,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Estudiantes,18
80484120,Salida,Ecuatoriano,2023,Agosto,21,Hombre,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Menores de edad,13
42425479,Salida,Ecuatoriano,2023,Abril,28,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Los Ángeles California,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Comerciantes de tiendas,33
80989059,Salida,Extranjero,2023,Agosto,22,Mujer,Canadá,América del Septentrional,América,Vía Aérea,Turismo,México,América Central,América,Cancun,Canadá,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,,Sin especificar,21
100483149,Salida,Ecuatoriano,2023,Octubre,30,Mujer,Ecuador,América del Sur,América,Vía terrestre,Turismo,Colombia,América del Sur,América,Pasto,Ecuador,América del Sur,América,Centro Nacional de Atención Fronteriza Rumichaca,Carchi,Tulcán,Clase migratoria para ecuatorianos,Menores de edad,13
84159715,Salida,Ecuatoriano,2023,Agosto,18,Mujer,Ecuador,América del Sur,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Contables,47
54090824,Salida,Extranjero,2023,Mayo,3,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Charleston South Carolina,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,,Personal de apoyo administrativo no clasificado bajo otros epigrafes,47
65063002,Entrada,Extranjero,2023,Junio,14,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Personal de apoyo administrativo no clasificado bajo otros epigrafes,57
